,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
36,160,RM,41,2665,Pave,NA,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0,3,3,PConc,3,3,1,5,548,3,173,36,757,GasA,5,Y,4,925,550,0,1475,0,0,2,0,4,1,3,6,5,1,3,Attchd,1977,2,1,336,3,3,1,104,26,0,0,0,0,0,0,NA,0,7,2006,WD ,127000
37,20,RL,105,11751,Pave,NA,3,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,3,3,CBlock,4,3,1,4,705,1,0,1139,1844,GasA,5,Y,4,1844,0,0,1844,0,0,2,0,3,1,3,7,5,1,3,Attchd,1977,2,2,546,3,3,1,0,122,0,0,0,0,0,3,NA,0,1,2010,COD,190000
38,20,RL,80,9600,Pave,NA,4,Lvl,4,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320,3,3,CBlock,3,3,1,5,916,1,0,326,1242,GasA,2,Y,4,1242,0,0,1242,0,0,1,1,3,1,3,6,5,1,3,Attchd,1973,1,2,528,3,3,1,0,0,0,0,0,0,0,0,NA,0,9,2007,WD ,175500
39,20,RL,60,8428,Pave,NA,2,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,4,4,1,6,420,1,0,570,990,GasA,5,Y,4,990,0,0,990,1,0,1,0,3,1,3,5,5,0,0,Detchd,1995,1,1,384,3,3,1,256,0,0,0,0,0,0,0,NA,0,7,2007,WD ,146000
40,20,RL,75,9937,Pave,NA,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0,4,3,CBlock,3,3,1,4,830,2,290,136,1256,GasA,4,Y,4,1256,0,0,1256,1,0,1,1,3,1,3,6,5,0,0,Attchd,1965,3,1,276,3,3,1,736,68,0,0,0,0,0,0,NA,0,6,2008,WD ,147500
41,20,RL,107,13891,Pave,NA,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0,5,3,PConc,5,4,4,6,1386,1,0,690,2076,GasA,5,Y,4,2076,0,0,2076,1,0,2,1,2,1,5,7,5,1,4,Attchd,2006,3,3,850,3,3,1,216,229,0,0,0,0,0,0,NA,0,9,2006,New,465000
42,85,RL,0,9101,Pave,NA,3,Lvl,4,Corner,3,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104,3,4,PConc,4,3,3,6,1097,1,0,0,1097,GasA,5,Y,4,1110,0,0,1110,1,0,1,0,1,1,4,4,5,1,3,Attchd,1978,3,2,602,3,3,1,303,30,0,0,0,0,0,0,NA,0,7,2009,WD ,165500
43,50,RM,81,12150,Pave,Grvl,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335,3,3,BrkTil,3,3,1,1,0,1,0,1050,1050,GasA,5,N,2,1050,745,0,1795,0,0,2,0,4,1,3,7,5,0,0,Attchd,1954,1,1,352,2,3,1,0,0,0,0,0,0,0,0,NA,0,11,2008,WD ,131500
44,20,RL,70,11200,Pave,NA,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,Y,4,1040,0,0,1040,1,0,1,0,3,1,3,5,5,0,0,Detchd,1965,1,1,384,3,3,1,0,0,0,0,0,0,0,0,NA,0,2,2008,WD ,129500
45,70,RL,100,9670,Pave,NA,3,HLS,4,Inside,3,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40,3,3,PConc,3,2,1,2,210,1,0,398,608,GasA,3,Y,4,983,890,0,1873,0,0,1,1,4,1,3,9,5,2,4,Detchd,1935,3,2,786,2,3,1,0,0,207,0,0,0,0,0,NA,0,6,2008,WD ,257076
46,50,RL,60,10998,Pave,Grvl,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,2,408,4,420,156,984,GasA,5,Y,4,984,620,0,1604,0,0,2,0,3,1,3,6,4,0,0,Detchd,1977,1,2,660,3,3,1,0,68,0,0,0,0,0,0,NA,0,7,2009,WD ,117000
47,70,RL,60,7200,Pave,NA,4,HLS,4,Inside,3,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0,3,2,BrkTil,4,3,1,1,0,1,0,776,776,GasA,3,Y,4,851,651,0,1502,0,0,1,1,3,1,3,6,5,1,4,Attchd,1931,2,1,270,3,3,1,0,0,112,0,0,0,0,3,NA,0,2,2008,WD ,149000
48,20,RL,80,9920,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110,3,3,CBlock,3,3,1,3,354,2,290,412,1056,GasA,3,Y,4,1063,0,0,1063,1,0,1,0,3,1,3,6,5,0,0,Attchd,1954,2,1,280,3,3,1,0,0,164,0,0,0,0,3,NA,0,2,2010,WD ,128000
49,160,RL,36,2448,Pave,NA,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106,4,3,PConc,4,3,1,1,0,1,0,764,764,GasA,5,Y,4,764,862,0,1626,0,0,2,1,2,1,4,6,5,0,0,BuiltIn,2003,2,2,474,3,3,1,0,27,0,0,0,0,0,0,NA,0,10,2008,WD ,155000
50,160,FV,0,2998,Pave,NA,4,Lvl,4,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513,4,3,PConc,4,3,1,6,353,1,0,403,756,GasA,5,Y,4,768,756,0,1524,0,0,2,1,2,1,4,4,5,0,0,Detchd,2000,1,2,440,3,3,1,0,32,0,0,0,0,0,0,NA,0,6,2006,WD ,166000
51,50,RL,65,7804,Pave,NA,4,Lvl,4,Inside,3,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0,3,3,BrkTil,3,3,1,4,622,1,0,500,1122,GasA,3,Y,4,1328,653,0,1981,1,0,2,0,4,1,4,7,4,2,3,Detchd,1981,1,2,576,3,3,1,431,44,0,0,0,0,0,3,NA,0,12,2009,WD ,135000
52,60,RL,80,16692,Pave,NA,3,Lvl,4,Inside,3,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184,3,3,CBlock,4,3,1,4,790,2,469,133,1392,GasA,3,Y,4,1392,1392,0,2784,1,0,3,1,5,1,4,12,5,2,3,Attchd,1978,2,2,564,3,3,1,0,112,0,0,440,519,2,3,TenC,2000,7,2006,WD ,250000
53,160,RM,21,1476,Pave,NA,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0,3,3,CBlock,3,3,1,6,176,1,0,370,546,GasA,5,Y,4,546,546,0,1092,0,0,1,1,3,1,3,5,5,0,0,NA,0,0,0,0,0,0,1,200,26,0,0,0,0,0,0,NA,0,3,2010,WD ,76000
54,20,RL,75,10170,Pave,NA,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522,3,3,CBlock,3,3,1,1,0,1,0,216,216,GasA,3,Y,4,1575,0,0,1575,0,0,1,1,2,1,4,5,5,1,4,Attchd,1951,1,2,400,3,3,1,0,0,0,0,0,0,0,0,NA,0,6,2006,WD ,155000
55,60,RL,80,9364,Pave,NA,4,Lvl,4,Corner,3,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143,3,3,CBlock,3,3,1,5,371,1,0,292,663,GasA,3,Y,4,663,689,0,1352,0,0,1,1,4,1,3,7,5,0,0,Attchd,1969,3,1,299,3,3,1,379,36,0,0,0,0,0,3,NA,0,3,2010,WD ,158000
56,160,FV,24,2544,Pave,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,4,3,PConc,4,3,1,6,368,5,42,190,600,GasA,5,Y,4,600,600,0,1200,1,0,2,1,2,1,4,4,5,0,0,Detchd,2004,2,2,480,3,3,1,0,172,0,0,0,0,0,0,NA,0,2,2010,WD ,149500
57,20,RL,82,9888,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,1,4,486,1,0,450,936,GasA,3,Y,3,936,0,0,936,0,0,1,0,2,1,3,5,5,0,0,Attchd,1954,1,1,240,3,3,1,0,0,160,0,0,0,0,3,NA,0,3,2006,WD ,121000
58,20,RL,68,7942,Pave,NA,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,1,3,85,5,955,0,1040,GasA,3,Y,2,1040,0,0,1040,0,1,1,0,3,1,3,6,5,0,0,Attchd,1953,3,1,293,3,3,1,0,0,0,0,0,0,0,3,NA,0,6,2007,WD ,136000
